Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	37	41	Adult	Female	SYER5943	2_FR_20_10_11
swift	large	1	C	SE66	C4	2	Cow	FR	20	10	2020	11	37	51	Adult	Female	SYER5946	2_FR_20_10_11
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	12	32	32	Adult	Female	SYER3625	2_FR_20_10_12
swift	large	1	R	SE63	R2	2	Cow	FR	20	10	2020	12	32	41	Adult	Female	SYER3628	2_FR_20_10_12
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	46	29	Adult	Female	SYER4315	2_FR_21_10_17
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	46	48	Adult	Female	SYER4318	2_FR_21_10_17
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	47	39	Adult	Female	SYER4321	2_FR_21_10_17
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	47	56	Adult	Female	SYER4324	2_FR_21_10_17
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	48	27	Adult	Female	SYER4327	2_FR_21_10_17
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	48	37	Adult	Female	SYER4330	2_FR_21_10_17
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	17	58	46	Adult	Female	SYER4333	2_FR_21_10_17
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	0	14	Adult	Female	SYER4336	2_FR_21_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	9	23	Adult	Female	SYER4342	2_FR_21_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	10	51	Adult	Female	SYER4345	2_FR_21_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	54	24	Adult	Female	SYER4378	2_FR_21_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	21	10	2020	18	59	7	Adult	Female	SYER4390	2_FR_21_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	24	47	Adult	Female	SYER4642	2_FR_22_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	25	48	Adult	Female	SYER4645	2_FR_22_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	26	22	Adult	Female	SYER4648	2_FR_22_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	22	10	2020	16	26	38	Adult	Female	SYER4651	2_FR_22_10_16
swift	large	1	C	SE61	C1	2	Cow	FR	22	10	2020	16	36	38	Adult	Female	SYER2242	2_FR_22_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	37	30	Adult	Female	SYER5815	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	37	52	Adult	Female	SYER5818	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	38	54	Adult	Female	SYER5821	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	39	32	Adult	Female	SYER5824	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	40	37	Adult	Female	SYER5827	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	40	48	Adult	Female	SYER5830	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	40	58	Adult	Female	SYER5833	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	41	13	Adult	Female	SYER5836	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	41	30	Adult	Female	SYER5839	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	41	40	Adult	Female	SYER5842	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	41	51	Adult	Female	SYER5845	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	42	17	Adult	Female	SYER5848	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	46	0	Adult	Female	SYER5851	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	47	11	Adult	Female	SYER5854	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	47	30	Adult	Female	SYER5857	2_FR_24_10_16
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	18	12	3	Adult	Female	SYER6220	2_FR_24_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	30	49	Adult	Female	SYER6223	2_FR_25_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	31	2	Adult	Female	SYER6226	2_FR_25_10_18
