Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr	behav
swift	large	4	C	SE51	C4	24	Kangaroo	RX	22	10	2020	11	7	17	Adult	Unknown	SYER7762	24_RX_22_10_11	0
swift	large	4	R	SE57	R1	24	Kangaroo	SS	22	10	2020	11	7	7	Adult	Unknown	SYER6440	24_SS_22_10_11	1
swift	large	4	C	SE51	C4	25	Kangaroo	CC	22	10	2020	11	8	46	Adult	Unknown	SYER7777	25_CC_22_10_11	1
swift	large	4	C	SE51	C4	25	Kangaroo	FR	22	10	2020	11	8	13	Adult	Unknown	SYER7771	25_FR_22_10_11	1
swift	large	4	C	SE51	C4	25	Kangaroo	RX	22	10	2020	11	7	17	Adult	Unknown	SYER7762	25_RX_22_10_11	0
swift	large	4	R	SE57	R1	25	Kangaroo	SS	22	10	2020	11	7	7	Adult	Unknown	SYER6440	25_SS_22_10_11	1
swift	large	4	C	SE48	C3	26	Kangaroo	FR	22	10	2020	11	8	24	Adult	Unknown	SYER2865	26_FR_22_10_11	1
swift	large	4	C	SE48	C3	26	Kangaroo	RX	22	10	2020	11	7	55	Adult	Unknown	SYER2859	26_RX_22_10_11	0
swift	large	4	C	SE48	C3	26	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862	26_SS_22_10_11	1
swift	large	4	C	SE48	C3	27	Kangaroo	RX	22	10	2020	11	7	58	Adult	Unknown	SYER2861	27_RX_22_10_11	0
swift	large	4	C	SE48	C3	27	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862	27_SS_22_10_11	1
swift	large	4	C	SE51	C4	28	Kangaroo	CC	22	10	2020	11	8	31	Adult	Unknown	SYER7774	28_CC_22_10_11	1
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	8	46	Adult	Unknown	SYER7777	28_FR_22_10_11	1
swift	large	4	C	SE51	C4	28	Kangaroo	SS	22	10	2020	11	8	57	Adult	Unknown	SYER7780	28_SS_22_10_11	1
swift	large	4	C	SE51	C4	29	Kangaroo	FR	22	10	2020	11	7	48	Adult	Unknown	SYER7765	29_FR_22_10_11	1
swift	large	4	C	SE51	C4	30	Amphibian	SS	13	10	2020	18	53	28	Unknown	Unknown	SYER0502	30_SS_13_10_18	1
swift	large	4	C	SE51	C4	31	Amphibian	SS	13	10	2020	19	37	1	Unknown	Unknown	SYER0505	31_SS_13_10_19	1
swift	large	4	C	SE51	C4	32	Fox	FR	14	10	2020	23	22	35	Adult	Unknown	SYER1077	32_FR_14_10_23	1
swift	large	4	C	SE51	C4	33	Fox	FR	15	10	2020	21	42	34	Adult	Unknown	SYER1957	33_FR_15_10_21	1
swift	large	4	C	SE51	C4	34	Fox	FR	17	10	2020	0	19	17	Adult	Unknown	SYER3283	34_FR_17_10_0	1
swift	large	4	R	SE57	R1	35	Kangaroo	RX	22	10	2020	11	9	11	Adult	Unknown	SYER6446	35_RX_22_10_11	0
swift	large	4	R	SE57	R1	35	Kangaroo	SS	22	10	2020	11	7	7	Adult	Unknown	SYER6440	35_SS_22_10_11	1
swift	large	4	C	SE48	C3	36	Kangaroo	RX	22	10	2020	11	7	24	Adult	Unknown	SYER2853	36_RX_22_10_11	0
