Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Kangaroo	Whiptail	Macropod	Monitor	Cow	Fox	Possum	Hare	Rabbit	Dog	Deer	Amphibian	Snake	Dragon	Rodent	Quail	Cat	Unknown	All_animals						
swift	small	10	C	SE51	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	10	C	SE65	C2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3						
swift	small	10	C	SE58	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	10	C	SE61	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	10	R	SE55	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	10	R	SE52	R2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1						
swift	small	11	C	SE56	C1	0	0	0	0	0	1	0	1	0	4	1	0	0	0	0	0	0	0	7						
swift	small	11	C	SE62	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	11	C	SE53	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	11	C	SE50	C4	8	0	0	0	10	3	2	3	0	6	0	0	0	0	0	0	0	0	32						
swift	small	11	R	SE52	R1	18	0	0	0	4	0	0	2	3	6	0	0	0	0	0	0	0	0	33						
swift	small	11	R	SE59	R2	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7						
swift	small	12	C	SE64	C1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3						
swift	small	12	C	SE59	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	12	C	SE50	C3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1						
swift	small	12	C	SE53	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	12	R	SE60	R1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2						
swift	small	12	R	SE54	R2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2						
swift	small	13	C	SE60	C1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1						
swift	small	13	C	SE55	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	13	C	SE49	C3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1						
swift	small	13	C	SE58	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	13	R	SE52	R1	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	9						
swift	large	13	R	SE50	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	14	C	UQ33	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	14	C	UQ26	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	14	C	UQ21	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
